"ClefRecherche"	"ValChaine"	"ValNumerique"	"ValDateHeure"	"Commentaire"
"Pbx_port"		"21,000"		
"Pbx_wait"		"15,000"		
"Taux_TVA"		"20,000"		
"NbrFiltreMax"		"10,000"		
"Seuil_Offset"		"5000,000"		
"NbrCritereMax"		"4,000"		
"Minimum_Offset"		"5000,000"		
"Coef_Lent_Seuil"		"1,100"		
"RemiseSaxoprint"		"20,000"		
"Seuil_Adressage"		"3000,000"		
"Seuil_Enveloppe"		"2000,000"		
"Seuil_Insertion"		"4000,000"		
"Seuil_Numerique"		"500,000"		
"Paybox_3D_Secure"		"1,000"		
"Paybox_Mode_Reel"		"0,000"		
"Ups_PrixAchat_Kg"		"0,670"		
"Bloctel_sftp_port"		"2200,000"		
"Callcenter_Samedi"		"1,400"		
"Coef_Express_Seuil"		"0,900"		
"Nb_Jour_Delai_Lent"		"40,000"		
"Minimum_Facturation"		"10,000"		
"Paybox_Forcer_Https"		"1,000"		
"ImageUploadTailleMax"		"500,000"		"Poids ou taille maximum en Ko d'une image"
"PoliceCourrierTaille"		"12,000"		
"PoliceSmartevaTaille"		"38,000"		
"VideoUploadTailleMax"		"10000,000"		"Poids ou taille maximum en Ko d'une image"
"Coef_Lent_Apres_Seuil"		"0,900"		
"Coef_Lent_Avant_Seuil"		"0,900"		
"IdGroupeNouveauClient"		"1,000"		
"ImageUploadHauteurMax"		"1500,000"		"Hauteur en pixel maximum d'une image"
"ImageUploadLargeurMax"		"900,000"		"Largeur en pixel maximum d'une image"
"ImageUploadLargeurMin"		"700,000"		"Largeur en pixel minimum d'une image"
"Reserve_Argent_Offert"		"10,000"		"Montant de l'offre d'inscription en réserve d'argent"
"Nb_Jour_Express_Offset"		"6,000"		
"NbrDocParCartonSmarteva"		"2000,000"		
"NbrDocParCartonTracteva"		"5000,000"		
"PackagePostevaReference"		"1,000"		
"Paybox_Test_Page_Retour"		"1,000"		
"Sms_Cadence_Horaire_Max"		"100000,000"		
"Vms_Cadence_Horaire_Max"		"10000,000"		
"Coef_Express_Apres_Seuil"		"1,100"		
"Coef_Express_Avant_Seuil"		"1,100"		
"PackageSmartevaReference"		"2,000"		
"PackageTractevaReference"		"1,000"		
"Bloctel_sftp_mot_de_passe"				
"CallCenter_IdCompteBanque"		"1,000"		
"Gestion_Batch_Nbr_Fichier"		"100,000"		
"Callcenter_NbrJourSecurite"		"4,000"		
"AccordCadreMediapostTrancheA"		"50,000"		
"AccordCadreMediapostTrancheB"		"50,000"		
"AccordCadreMediapostTrancheC"		"50,000"		
"Gestion_Batch_Taille_Fichier"		"5000000,000"		
"IdComptePrelevementOperation"		"11,000"		
"Callcenter_RetardMaxOperateur"		"15,000"		
"IdComptePrelevementAbonnement"		"1,000"		
"Callcenter_Enregistrement_Appel"		"1,000"		
"Callcenter_DureeMessageRepondeur"		"30,000"		
"Callcenter_DureeDerniereTentative"		"21,000"		
"Callcenter_DureePremiereTentative"		"17,000"		
"Callcenter_PourcentageAffectation"		"50,000"		
"Callcenter_PrixAchatMinutePortable"		"0,021"		
"BatchStatut_DureeIntervalle_IciClic"		"5,000"		
"BatchStatut_DureeIntervalle_IciLien"		"15,000"		
"BatchStatut_DureeIntervalle_TelLead"		"20,000"		
"AbonnementNombreDeJourAlerteReglement"		"8,000"		"Nombre de jours pour alerter le client qu'il faut payer"
"AbonnementNombreDeJourDelaiExpiration"		"10,000"		"Nombre de jours de retard autorisé pour les règlements en attente avec traitement manuel"
"BatchStatut_DureeIntervalle_IciTracking"		"60,000"		
"AbonnementNombreDeJourPrelevementAutomatique"		"7,000"		"Nombre de jour pour le déclenchement des prélèvements ou des paiements par cartes bancaires enregistrés des abonnements programmés"
"CallCenter_MaxHeurePlanningOperateurConsecutive"		"3,000"		
"CallCenter_MaxHeurePlanningOperateurQuotidienne"		"6,000"		
"CallCenter_MaxHeurePlanningOperateurHebdomadaire"		"25,000"		
"unc_kingcall"	"\\172.16.144.109\kingcall-nfs"			
"unc_marketeam"	"\\172.16.144.109\marketeam"			
"marketeam_rep_racine"	"\\172.16.144.35\MARKETEAM_WEB\"			
"rep_racine_marketeam"	"\\172.16.144.35\MARKETEAM_WEB\"			
"Vms_Rep_Racine"	"\\172.16.144.41\FR"			
"rep_kingcall_backup"	"\\192.168.144.101\kingcall"			
"Paybox_Prod_Rang"	"01"			
"Paybox_Prod_Identifiant_Site"	"106525242"			
"Paybox_Dev_Identifiant_Site"	"109518543"			
"gestion_heure_limite_prise_en_charge"	"1100"			
"Pbx_sftp"	"192.168.144.120"			
"Paybox_Dev_Site"	"1999888"			
"Paybox_Dev_Cle"	"1999888I"			
"Paybox_Prod_Site"	"3736310"			
"LaPoste_Code_Port_Paye"	"501274"			
"Paybox_Dev_Rang"	"63"			
"LaPoste_Libelle_Lieu_Depot"	"75 PARIS 9 CHORON PSE"			
"LaPoste_Code_Lieu_Depot"	"752920"			
"FindIp_Api_Key"	"8c7fe03b143b43219b3991fa25c7e2d8"			
"Email_Emetteur"	"administrateur@chronodirect.com"			
"CleGoogleMaps"	"AIzaSyDn0lL_xwrcNfKrkSESxkCSsRY1KmDkcpE"			
"InfobipUrlApiEmailUrlPost"	"api.infobip.com/email/1/send"			
"PoliceCourrierDefaut"	"Arial"	"1,000"		
"repweb_bdds"	"Bdd"			
"IbanCheckerUtilisateur"	"Billbuck"			
"Zecible_Utilisateur"	"BKU`8oKZJZJiOr^>Yk<6Bl#Xj)*Ju5G^"			
"rep_Bloctel"	"Bloctel"			
"Bloctel_sftp_identifiant"	"bloctel-sftp-2308"			
"Bloctel_sftp_fichier_clé_privée"	"BloctelCléPrivée.ppk"			
"rep_Elfydata_bat"	"C:\76310\Elfy_Res\"			
"rep_Elfydata_options"	"C:\76310\Elfy_Res\Data\Stats_Options\"			
"rep_Elfydata"	"C:\ElfyData\"			
"rep_ImageMagick"	"C:\Program Files\ImageMagick"			
"ligneCommande_Planetpress"	"C:\Program Files\ImageMagick\magick ""%1[%2-%3]"" -background white -alpha remove -colorspace sRGB -quality 80  -resize 900 -set filename:page ""%[fx:t+%2]"" %4%[filename:page].jpg"			
"marketeam_rep_web"	"C:\Sites\Root\Marketeam\MARKETEAM_WEB\"			
"Reserve_Argent_Libelle"	"Cadeau de bienvenue"			"Libellé de l'offre d'inscription"
"repweb_casting_audio"	"CastingAudio"			
"Vms_Login"	"Chronodirect"			
"Email_Password"	"Chronodirect365"			
"InfobipApiEmailLogin"	"CHRONOEMAIL"			
"LaPoste_Code_CI"	"CI 1189"			
"Bloctel_sftp_repertoire_clé_privée"	"CléPrivée"			
"Url_CliquezIci"	"cliquez.info/[Code]"			
"Zecible_IdClient"	"ded17c6ed360328a7d52cf57cc86a3c819f6de5399ef8a9defe929c3b3e29dc6"			
"ftp_password"	"denony"			
"Paybox_Compte"	"DEV"			
"rep_document"	"Documents"			
"repweb_ecoutes"	"Ecoutes"			
"repweb_ecoutes_backup"	"Ecoutes_Backup"			
"rep_email_icone"	"Email"			
"rep_Bloctel_Entrée"	"Entrée"			
"repweb_enveloppes"	"Enveloppes"			
"CallCenter_Repertoire_Facture"	"Facture"			
"Paybox_Prod_Cle"	"HGCBBDCB"			
"InfobipApiEmailUrlNotification"	"http://151.80.196.87/KANNEL_WEB/FR/pgeEmailNotifyUrl.awp"			
"InfobipApiEmailUrlTracking"	"http://151.80.196.87/KANNEL_WEB/FR/pgeEmailTrackingUrl.awp"			
"UrlKannelRetour"	"http://172.16.144.41/KANNEL_WEB/FR/pgeKannelRapport.awp"			
"UrlKannel"	"http://172.16.144.50:13013/cgi-bin/sendsms"			
